id	title	description	link	image_link	availability	price	sale_price	condition	brand	mpn	google_product_category	product_type	custom_label_0	custom_label_1	custom_label_2	custom_label_3	custom_label_4	shipping_weight
BR-001	Regal 150x70x30 cm cerny	Kovovy regal 150x70x30 cm v cerne barve. 4 police, nosnost 700 kg celkem (175 kg/police). Bezroubova montaz za 10 minut bez naradi. Idealni do garaze, sklepa, dilny. Novy, nerozbaleny, zaruka 7 let. Likvidace skladu - sleva 75%.	https://www.bazarovyregal.cz/regal-150x70x30-cerna.html	https://vyprodej-regalucz.s26.cdn-upgates.com/l/l690377af7480a-1-regal-1800x900x400-mm-lakovany-5-policovy-nosnost-875-kg-cerny-pravy-18090405875black1.jpeg	in_stock	599 CZK	599 CZK	new	BazarovyRegal	BR-001	6356	Domacnost > Regaly > Kovove regaly	budget	Cerny	compact	standard	Lakovany	8.5 kg
BR-002	Regal 150x70x30 cm zinkovany	Zinkovany kovovy regal 150x70x30 cm. 4 police, nosnost 700 kg. Odolny korozi - idealni do vlhkych prostor. Bezroubova montaz. Novy, zaruka 7 let. Likvidace skladu.	https://www.bazarovyregal.cz/regal-150x70x30-zinkovany.html	https://vyprodej-regalucz.s26.cdn-upgates.com/z/z6914605330838-5-pol-pravy-zink.jpg	in_stock	549 CZK	549 CZK	new	BazarovyRegal	BR-002	6356	Domacnost > Regaly > Kovove regaly	budget	Zinkovany	compact	standard	Pozinkovany	8.5 kg
BR-003	Regal 180x90x40 cm cerny	Nejprodavanejsi kovovy regal 180x90x40 cm cerny. 5 polic, nosnost 875 kg celkem. Bezroubova montaz za 10 minut. Skvely do garaze, skladu, dilny. BESTSELLER. Novy, zaruka 7 let. Likvidace skladu - sleva 75%.	https://www.bazarovyregal.cz/regal-180x90x40-cerna.html	https://vyprodej-regalucz.s26.cdn-upgates.com/l/l690377af7480a-1-regal-1800x900x400-mm-lakovany-5-policovy-nosnost-875-kg-cerny-pravy-18090405875black1.jpeg	in_stock	739 CZK	739 CZK	new	BazarovyRegal	BR-003	6356	Domacnost > Regaly > Kovove regaly	mid	Cerny	standard	bestseller	Lakovany	12.0 kg
BR-004	Regal 180x90x40 cm zinkovany	Zinkovany kovovy regal 180x90x40 cm. 5 polic, nosnost 875 kg. Maximalni odolnost korozi a vlhkosti. Bezroubova montaz. Novy, zaruka 7 let. Likvidace skladu.	https://www.bazarovyregal.cz/regal-180x90x40-zinkovany.html	https://vyprodej-regalucz.s26.cdn-upgates.com/z/z6914605330838-5-pol-pravy-zink.jpg	in_stock	649 CZK	649 CZK	new	BazarovyRegal	BR-004	6356	Domacnost > Regaly > Kovove regaly	mid	Zinkovany	standard	standard	Pozinkovany	12.0 kg
BR-005	Regal 180x90x40 cm bily	Bily kovovy regal 180x90x40 cm. 5 polic, nosnost 875 kg. Elegantni bila barva do interieru, kancelare, bytu. Bezroubova montaz. Novy, zaruka 7 let. Likvidace skladu.	https://www.bazarovyregal.cz/regal-180x90x40-bila.html	https://vyprodej-regalucz.s26.cdn-upgates.com/6/6690a777ad6edc-1-18090405875white1.jpeg	in_stock	739 CZK	739 CZK	new	BazarovyRegal	BR-005	6356	Domacnost > Regaly > Kovove regaly	mid	Bily	standard	standard	Lakovany	12.0 kg
BR-006	Regal 180x90x40 cm cerveny	Cerveny kovovy regal 180x90x40 cm. 5 polic, nosnost 875 kg. Vyrazna cervena barva do dilny a garaze. Bezroubova montaz. Novy, zaruka 7 let. Likvidace skladu.	https://www.bazarovyregal.cz/regal-180x90x40-cervena.html	https://vyprodej-regalucz.s26.cdn-upgates.com/_cache/9/e/9eef5f9f2ad8880b75926a3eae58485b-1-regal-1500x700x300-mm-lakovany-4-policovy-nosnost-700-kg-cerveny-pravy-15070304700red1.jpeg	in_stock	759 CZK	759 CZK	new	BazarovyRegal	BR-006	6356	Domacnost > Regaly > Kovove regaly	mid	Cerveny	standard	standard	Lakovany	12.0 kg
BR-007	Regal 180x90x40 cm modry	Modry kovovy regal 180x90x40 cm. 5 polic, nosnost 875 kg. Profesionalni modra barva do skladu a dilny. Bezroubova montaz. Novy, zaruka 7 let. Likvidace skladu.	https://www.bazarovyregal.cz/regal-180x90x40-modra.html	https://vyprodej-regalucz.s26.cdn-upgates.com/_cache/1/c/1c64831c1231f5847cf9e7a36f6cdf6f-1-15070304700blue1.jpeg	in_stock	759 CZK	759 CZK	new	BazarovyRegal	BR-007	6356	Domacnost > Regaly > Kovove regaly	mid	Modry	standard	standard	Lakovany	12.0 kg
BR-008	Regal 200x90x40 cm cerny	Vysoky kovovy regal 200x90x40 cm cerny. 5 polic, nosnost 875 kg. Maximalni vyuziti vertikalniho prostoru. Bezroubova montaz. Novy, zaruka 7 let. Likvidace skladu.	https://www.bazarovyregal.cz/regal-200x90x40-cerna.html	https://vyprodej-regalucz.s26.cdn-upgates.com/l/l690377af7480a-1-regal-1800x900x400-mm-lakovany-5-policovy-nosnost-875-kg-cerny-pravy-18090405875black1.jpeg	in_stock	849 CZK	849 CZK	new	BazarovyRegal	BR-008	6356	Domacnost > Regaly > Kovove regaly	premium	Cerny	tall	standard	Lakovany	13.5 kg
BR-009	Regal 200x120x50 cm cerny	Siroky kovovy regal 180x120x50 cm cerny. 5 polic, nosnost 875 kg. Velka ulozna plocha pro e-shopy a sklady. Bezroubova montaz. Novy, zaruka 7 let. Likvidace skladu.	https://www.bazarovyregal.cz/regal-180x120x50-cerna.html	https://vyprodej-regalucz.s26.cdn-upgates.com/l/l690377af7480a-1-regal-1800x900x400-mm-lakovany-5-policovy-nosnost-875-kg-cerny-pravy-18090405875black1.jpeg	in_stock	1149 CZK	1149 CZK	new	BazarovyRegal	BR-009	6356	Domacnost > Regaly > Kovove regaly	premium	Cerny	standard	standard	Lakovany	16.0 kg
BR-010	Regal 180x120x50 cm profesionalni	Profesionalni kovovy regal 180x120x50 cm modro-oranzovy. 5 polic, nosnost 1050 kg (210 kg/police). Nejsilnejsi regal v nabidce. Pro narocne skladove vyuziti. Bezroubova montaz. Novy, zaruka 7 let. Likvidace skladu.	https://www.bazarovyregal.cz/regal-180x120x50-profesionalni.html	https://vyprodej-regalucz.s26.cdn-upgates.com/_cache/b/1/b17ce5b491bdb73a0df3160b51fbcf7e-1-regal-1800x1200x500-mm-lakovany-5-policovy-nosnost-1050-kg-modro-oranzovy-pravy-18120501050orangeblue1.jpeg	in_stock	1249 CZK	1249 CZK	new	BazarovyRegal	BR-010	6356	Domacnost > Regaly > Kovove regaly	premium	Modro-oranzovy	standard	standard	Lakovany	18.0 kg
